date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,kelly,edge,band,return
2024-11-20,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-21,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-22,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-25,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-26,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-27,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-11-29,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-02,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-04,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-05,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-06,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-09,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-10,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-11,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-12,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-13,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-16,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-17,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-18,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-19,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-20,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-23,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-24,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-26,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-27,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-30,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
2024-12-31,,Trend,0,,77053.31518893945,,,,0.0,,,,0.0
